Gender,Job,Salary,Height,Weight
F,D,4457,175,46
F,T,6026,180,57
F,D,4171,161,97
F,D,4433,166,88
F,T,3440,155,96
F,D,5377,185,88
F,D,3412,180,74
F,D,4650,152,67
F,D,3799,169,48
F,D,6445,152,43
F,T,5101,175,92
F,P,3763,147,48
F,T,3944,151,54
F,D,4230,177,97
F,T,6781,153,46
F,D,5642,154,47
F,D,5241,171,97
F,D,4054,180,69
F,D,3688,154,75
F,D,5944,151,49
F,P,3876,150,70
F,T,6885,181,49
F,D,3610,150,48
F,D,6387,150,43
F,P,3261,151,94
F,T,3955,152,73
F,D,5158,149,58
F,D,3679,149,41
F,T,5632,156,71
F,T,3439,181,84
F,T,6559,158,81
F,T,4120,183,97
F,T,4146,180,61
F,P,4814,182,77
F,D,4885,161,84
F,P,3836,182,88
F,P,6514,178,70
F,T,6009,185,60
F,D,6072,169,84
F,T,5157,163,91
F,T,6289,170,76
F,T,5725,150,56
F,T,5666,165,42
F,T,5216,160,59
F,D,6880,172,41
F,T,4208,162,82
F,T,3478,168,77
F,T,3872,151,60
F,P,6618,169,96
F,P,3820,146,87
M,D,4315,167,81
M,P,6026,164,46
M,P,3181,180,85
M,D,4892,174,86
M,T,5620,174,80
M,T,6973,178,84
M,P,3631,178,70
M,P,6008,185,61
M,D,6012,159,90
M,T,5992,167,70
M,T,4875,170,90
M,T,4195,158,93
M,D,4386,151,94
M,P,5664,171,93
M,P,4807,169,62
M,T,4174,164,76
M,D,4080,145,67
M,D,3122,183,53
M,D,5067,179,87
M,T,4866,151,98
M,P,3476,146,94
M,T,4793,146,61
M,D,3332,156,92
M,D,3481,161,51
M,T,3098,146,85
M,P,4580,167,54
M,D,6186,160,94
M,P,4871,166,50
M,T,6702,166,85
M,T,3782,150,64
M,D,5970,185,42
M,P,6336,162,72
M,P,3551,154,86
M,T,4945,169,86
M,D,3286,179,86
M,D,4011,180,98
M,D,6772,165,49
M,T,3366,176,76
M,P,6868,168,89
M,P,6599,162,82
M,T,6434,152,97
M,D,5857,164,79
M,T,6799,152,79
M,T,5188,183,69
M,P,5725,175,71
M,P,6982,154,42
M,D,4709,171,48
M,D,5692,147,63
M,D,6671,152,97
M,P,6928,177,52
